fips,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01055,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01057,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01059,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01061,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01063,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01065,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01067,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01069,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01071,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01073,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01075,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01077,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01079,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01081,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01083,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01085,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01087,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01089,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01091,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01093,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01095,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01097,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01099,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01101,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01103,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01105,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01107,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01109,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01111,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01113,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01115,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01117,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01119,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01121,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01123,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01125,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01127,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
