fips,2022,2023,2024
06109,265.334,124.75,99.75
06111,265.334,124.75,99.75
06113,265.334,124.75,99.75
06115,265.334,124.75,99.75
08001,265.334,124.75,99.75
08003,265.334,124.75,99.75
08005,265.334,124.75,99.75
08007,265.334,124.75,99.75
08009,265.334,124.75,99.75
08011,265.334,124.75,99.75
08013,265.334,124.75,99.75
08014,265.334,124.75,99.75
08015,265.334,124.75,99.75
08017,265.334,124.75,99.75
08019,265.334,124.75,99.75
08021,265.334,124.75,99.75
08023,265.334,124.75,99.75
08025,265.334,124.75,99.75
08027,265.334,124.75,99.75
08029,265.334,124.75,99.75
08031,265.334,124.75,99.75
08033,265.334,124.75,99.75
08035,265.334,124.75,99.75
08037,265.334,124.75,99.75
08039,265.334,124.75,99.75
08041,265.334,124.75,99.75
08043,265.334,124.75,99.75
08045,265.334,124.75,99.75
08047,265.334,124.75,99.75
08049,265.334,124.75,99.75
08051,265.334,124.75,99.75
08053,265.334,124.75,99.75
08055,265.334,124.75,99.75
08057,265.334,124.75,99.75
08059,265.334,124.75,99.75
08061,265.334,124.75,99.75
08063,265.334,124.75,99.75
08065,265.334,124.75,99.75
08067,265.334,124.75,99.75
08069,265.334,124.75,99.75
08071,265.334,124.75,99.75
08073,265.334,124.75,99.75
08075,265.334,124.75,99.75
08077,265.334,124.75,99.75
08079,265.334,124.75,99.75
08081,265.334,124.75,99.75
08083,265.334,124.75,99.75
08085,265.334,124.75,99.75
08087,265.334,124.75,99.75
08089,265.334,124.75,99.75
08091,265.334,124.75,99.75
08093,265.334,124.75,99.75
08095,265.334,124.75,99.75
08097,265.334,124.75,99.75
08099,265.334,124.75,99.75
08101,265.334,124.75,99.75
08103,265.334,124.75,99.75
08105,265.334,124.75,99.75
08107,265.334,124.75,99.75
08109,265.334,124.75,99.75
08111,265.334,124.75,99.75
08113,265.334,124.75,99.75
08115,265.334,124.75,99.75
08117,265.334,124.75,99.75
08119,265.334,124.75,99.75
08121,265.334,124.75,99.75
08123,265.334,124.75,99.75
08125,265.334,124.75,99.75
09001,265.334,124.75,99.75
09003,265.334,124.75,99.75
09005,265.334,124.75,99.75
09007,265.334,124.75,99.75
09009,265.334,124.75,99.75
09011,265.334,124.75,99.75
09013,265.334,124.75,99.75
09015,265.334,124.75,99.75
10001,265.334,124.75,99.75
10003,265.334,124.75,99.75
10005,265.334,124.75,99.75
11001,265.334,124.75,99.75
12001,265.334,124.75,99.75
12003,265.334,124.75,99.75
12005,265.334,124.75,99.75
12007,265.334,124.75,99.75
12009,265.334,124.75,99.75
12011,265.334,124.75,99.75
12013,265.334,124.75,99.75
12015,265.334,124.75,99.75
12017,265.334,124.75,99.75
12019,265.334,124.75,99.75
12021,265.334,124.75,99.75
12023,265.334,124.75,99.75
12027,265.334,124.75,99.75
12029,265.334,124.75,99.75
12031,265.334,124.75,99.75
12033,265.334,124.75,99.75
12035,265.334,124.75,99.75
12037,265.334,124.75,99.75
12039,265.334,124.75,99.75
12041,265.334,124.75,99.75
12043,265.334,124.75,99.75
12045,265.334,124.75,99.75
12047,265.334,124.75,99.75
12049,265.334,124.75,99.75
12051,265.334,124.75,99.75
12053,265.334,124.75,99.75
12055,265.334,124.75,99.75
12057,265.334,124.75,99.75
12059,265.334,124.75,99.75
12061,265.334,124.75,99.75
12063,265.334,124.75,99.75
12065,265.334,124.75,99.75
12067,265.334,124.75,99.75
