fips,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,0.00576002,0.0052411,0.00502118,0.00470982,0.00667431,0.00681022,0.00908111,0.0100695,0.011142,0.0161804,0.0162225,0.0166549,0.0168723,0.0208532,0.0244412,0.0251479,0.0244708,0.0260721,0.0259189,0.0243226,0.0219306,0.0256718,0.0292103,0.0300653
01001,0.00688188,0.00725501,0.00714628,0.0050533,0.00817918,0.00848559,0.00866845,0.00959015,0.0106379,0.0154317,0.0155281,0.0158123,0.0160668,0.0207074,0.023386,0.0242558,0.0236628,0.0254444,0.0245326,0.0239593,0.0212535,0.0218886,0.0246265,0.0250565
01003,0.00688188,0.00725501,0.00714628,0.0050533,0.00817918,0.00848559,0.00866845,0.00959015,0.0106379,0.0154317,0.0155281,0.0158123,0.0160668,0.0207074,0.023386,0.0242558,0.0236628,0.0254444,0.0245326,0.0239593,0.0212535,0.0218886,0.0246265,0.0250565
01005,0.00688188,0.00725501,0.00714628,0.0050533,0.00817918,0.00848559,0.00866845,0.00959015,0.0106379,0.0154317,0.0155281,0.0158123,0.0160668,0.0207074,0.023386,0.0242558,0.0236628,0.0254444,0.0245326,0.0239593,0.0212535,0.0218886,0.0246265,0.0250565
01007,0.00688188,0.00725501,0.00714628,0.0050533,0.00817918,0.00848559,0.00866845,0.00959015,0.0106379,0.0154317,0.0155281,0.0158123,0.0160668,0.0207074,0.023386,0.0242558,0.0236628,0.0254444,0.0245326,0.0239593,0.0212535,0.0218886,0.0246265,0.0250565
01009,0.00688188,0.00725501,0.00714628,0.0050533,0.00817918,0.00848559,0.00866845,0.00959015,0.0106379,0.0154317,0.0155281,0.0158123,0.0160668,0.0207074,0.023386,0.0242558,0.0236628,0.0254444,0.0245326,0.0239593,0.0212535,0.0218886,0.0246265,0.0250565
01011,0.00688188,0.00725501,0.00714628,0.0050533,0.00817918,0.00848559,0.00866845,0.00959015,0.0106379,0.0154317,0.0155281,0.0158123,0.0160668,0.0207074,0.023386,0.0242558,0.0236628,0.0254444,0.0245326,0.0239593,0.0212535,0.0218886,0.0246265,0.0250565
01013,0.00688188,0.00725501,0.00714628,0.0050533,0.00817918,0.00848559,0.00866845,0.00959015,0.0106379,0.0154317,0.0155281,0.0158123,0.0160668,0.0207074,0.023386,0.0242558,0.0236628,0.0254444,0.0245326,0.0239593,0.0212535,0.0218886,0.0246265,0.0250565
01015,0.00688188,0.00725501,0.00714628,0.0050533,0.00817918,0.00848559,0.00866845,0.00959015,0.0106379,0.0154317,0.0155281,0.0158123,0.0160668,0.0207074,0.023386,0.0242558,0.0236628,0.0254444,0.0245326,0.0239593,0.0212535,0.0218886,0.0246265,0.0250565
01017,0.00688188,0.00725501,0.00714628,0.0050533,0.00817918,0.00848559,0.00866845,0.00959015,0.0106379,0.0154317,0.0155281,0.0158123,0.0160668,0.0207074,0.023386,0.0242558,0.0236628,0.0254444,0.0245326,0.0239593,0.0212535,0.0218886,0.0246265,0.0250565
01019,0.00688188,0.00725501,0.00714628,0.0050533,0.00817918,0.00848559,0.00866845,0.00959015,0.0106379,0.0154317,0.0155281,0.0158123,0.0160668,0.0207074,0.023386,0.0242558,0.0236628,0.0254444,0.0245326,0.0239593,0.0212535,0.0218886,0.0246265,0.0250565
01021,0.00688188,0.00725501,0.00714628,0.0050533,0.00817918,0.00848559,0.00866845,0.00959015,0.0106379,0.0154317,0.0155281,0.0158123,0.0160668,0.0207074,0.023386,0.0242558,0.0236628,0.0254444,0.0245326,0.0239593,0.0212535,0.0218886,0.0246265,0.0250565
01023,0.00688188,0.00725501,0.00714628,0.0050533,0.00817918,0.00848559,0.00866845,0.00959015,0.0106379,0.0154317,0.0155281,0.0158123,0.0160668,0.0207074,0.023386,0.0242558,0.0236628,0.0254444,0.0245326,0.0239593,0.0212535,0.0218886,0.0246265,0.0250565
