fips,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,0.7465589458693244,0.7661290796486323,0.7866729029343876,0.8082536292551419,0.8309399535030793,0.8548066519917054,0.8799352605182631,0.9064148417125784,0.9343428546880865,0.9638261420204828,0.994982051409585,1.0279397120824216,1.0628414891308635,1.0998446426157915,1.1391232224937233,1.180870235326678
01001,0.76040665316756,0.7806259614304456,0.8018843989040504,0.8242607388637837,0.8478422772005494,0.8727259790190605,0.8990197980100294,0.9268441960676662,0.9563338951026888,0.9876398982186673,1.0209318234985032,1.056400600731251,1.0942615896639092,1.1347581879828683,1.1781660084422028,1.2247977176255056
01003,0.76040665316756,0.7806259614304456,0.8018843989040504,0.8242607388637837,0.8478422772005494,0.8727259790190605,0.8990197980100294,0.9268441960676662,0.9563338951026888,0.9876398982186673,1.0209318234985032,1.056400600731251,1.0942615896639092,1.1347581879828683,1.1781660084422028,1.2247977176255056
01005,0.76040665316756,0.7806259614304456,0.8018843989040504,0.8242607388637837,0.8478422772005494,0.8727259790190605,0.8990197980100294,0.9268441960676662,0.9563338951026888,0.9876398982186673,1.0209318234985032,1.056400600731251,1.0942615896639092,1.1347581879828683,1.1781660084422028,1.2247977176255056
01007,0.76040665316756,0.7806259614304456,0.8018843989040504,0.8242607388637837,0.8478422772005494,0.8727259790190605,0.8990197980100294,0.9268441960676662,0.9563338951026888,0.9876398982186673,1.0209318234985032,1.056400600731251,1.0942615896639092,1.1347581879828683,1.1781660084422028,1.2247977176255056
01009,0.76040665316756,0.7806259614304456,0.8018843989040504,0.8242607388637837,0.8478422772005494,0.8727259790190605,0.8990197980100294,0.9268441960676662,0.9563338951026888,0.9876398982186673,1.0209318234985032,1.056400600731251,1.0942615896639092,1.1347581879828683,1.1781660084422028,1.2247977176255056
01011,0.76040665316756,0.7806259614304456,0.8018843989040504,0.8242607388637837,0.8478422772005494,0.8727259790190605,0.8990197980100294,0.9268441960676662,0.9563338951026888,0.9876398982186673,1.0209318234985032,1.056400600731251,1.0942615896639092,1.1347581879828683,1.1781660084422028,1.2247977176255056
01013,0.76040665316756,0.7806259614304456,0.8018843989040504,0.8242607388637837,0.8478422772005494,0.8727259790190605,0.8990197980100294,0.9268441960676662,0.9563338951026888,0.9876398982186673,1.0209318234985032,1.056400600731251,1.0942615896639092,1.1347581879828683,1.1781660084422028,1.2247977176255056
01015,0.76040665316756,0.7806259614304456,0.8018843989040504,0.8242607388637837,0.8478422772005494,0.8727259790190605,0.8990197980100294,0.9268441960676662,0.9563338951026888,0.9876398982186673,1.0209318234985032,1.056400600731251,1.0942615896639092,1.1347581879828683,1.1781660084422028,1.2247977176255056
01017,0.76040665316756,0.7806259614304456,0.8018843989040504,0.8242607388637837,0.8478422772005494,0.8727259790190605,0.8990197980100294,0.9268441960676662,0.9563338951026888,0.9876398982186673,1.0209318234985032,1.056400600731251,1.0942615896639092,1.1347581879828683,1.1781660084422028,1.2247977176255056
01019,0.76040665316756,0.7806259614304456,0.8018843989040504,0.8242607388637837,0.8478422772005494,0.8727259790190605,0.8990197980100294,0.9268441960676662,0.9563338951026888,0.9876398982186673,1.0209318234985032,1.056400600731251,1.0942615896639092,1.1347581879828683,1.1781660084422028,1.2247977176255056
01021,0.76040665316756,0.7806259614304456,0.8018843989040504,0.8242607388637837,0.8478422772005494,0.8727259790190605,0.8990197980100294,0.9268441960676662,0.9563338951026888,0.9876398982186673,1.0209318234985032,1.056400600731251,1.0942615896639092,1.1347581879828683,1.1781660084422028,1.2247977176255056
01023,0.76040665316756,0.7806259614304456,0.8018843989040504,0.8242607388637837,0.8478422772005494,0.8727259790190605,0.8990197980100294,0.9268441960676662,0.9563338951026888,0.9876398982186673,1.0209318234985032,1.056400600731251,1.0942615896639092,1.1347581879828683,1.1781660084422028,1.2247977176255056
01025,0.76040665316756,0.7806259614304456,0.8018843989040504,0.8242607388637837,0.8478422772005494,0.8727259790190605,0.8990197980100294,0.9268441960676662,0.9563338951026888,0.9876398982186673,1.0209318234985032,1.056400600731251,1.0942615896639092,1.1347581879828683,1.1781660084422028,1.2247977176255056
01027,0.76040665316756,0.7806259614304456,0.8018843989040504,0.8242607388637837,0.8478422772005494,0.8727259790190605,0.8990197980100294,0.9268441960676662,0.9563338951026888,0.9876398982186673,1.0209318234985032,1.056400600731251,1.0942615896639092,1.1347581879828683,1.1781660084422028,1.2247977176255056
01029,0.76040665316756,0.7806259614304456,0.8018843989040504,0.8242607388637837,0.8478422772005494,0.8727259790190605,0.8990197980100294,0.9268441960676662,0.9563338951026888,0.9876398982186673,1.0209318234985032,1.056400600731251,1.0942615896639092,1.1347581879828683,1.1781660084422028,1.2247977176255056
01031,0.76040665316756,0.7806259614304456,0.8018843989040504,0.8242607388637837,0.8478422772005494,0.8727259790190605,0.8990197980100294,0.9268441960676662,0.9563338951026888,0.9876398982186673,1.0209318234985032,1.056400600731251,1.0942615896639092,1.1347581879828683,1.1781660084422028,1.2247977176255056
01033,0.76040665316756,0.7806259614304456,0.8018843989040504,0.8242607388637837,0.8478422772005494,0.8727259790190605,0.8990197980100294,0.9268441960676662,0.9563338951026888,0.9876398982186673,1.0209318234985032,1.056400600731251,1.0942615896639092,1.1347581879828683,1.1781660084422028,1.2247977176255056
