"Average retail price of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=1,0&geo=vvvvvvvvvvvvo&endsec=8&linechart=ELEC.PRICE.US-RES.A&columnchart=ELEC.PRICE.US-RES.A&map=ELEC.PRICE.US-RES.A&freq=A&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Thu Dec 12 2024 11:59:25 GMT-0700 (Mountain Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Average retail price of electricity","cents per kilowatthour",,,,,,,,,,,,,,,,,,,,,,,,
"All sectors",,"ELEC.PRICE.US-ALL.A",,,,,,,,,,,,,,,,,,,,,,,
"Residential : Minnesota","cents per kilowatthour","ELEC.PRICE.MN-RES.A",7.61,7.49,7.65,7.92,8.28,8.70,9.18,9.74,10.04,10.59,10.96,11.35,11.81,12.01,12.12,12.67,13.04,13.14,13.04,13.17,13.50,14.25,14.73
"Residential : Missouri","cents per kilowatthour","ELEC.PRICE.MO-RES.A",7.00,7.06,6.96,6.97,7.08,7.44,7.69,8.00,8.54,9.08,9.75,10.17,10.60,10.64,11.21,11.21,11.63,11.34,11.14,11.22,11.41,11.74,12.58
"Residential : Nebraska","cents per kilowatthour","ELEC.PRICE.NE-RES.A",6.50,6.73,6.87,6.96,7.14,7.41,7.59,7.87,8.52,8.94,9.32,10.04,10.31,10.40,10.60,10.84,10.97,10.70,10.77,10.80,10.75,10.79,11.20
"Residential : North Dakota","cents per kilowatthour","ELEC.PRICE.ND-RES.A",6.47,6.39,6.49,6.79,6.99,7.14,7.30,7.51,7.58,8.13,8.58,9.06,9.12,9.15,9.62,10.16,10.29,10.25,10.30,10.44,10.85,10.92,11.01
"Residential : South Dakota","cents per kilowatthour","ELEC.PRICE.SD-RES.A",7.42,7.40,7.47,7.65,7.77,7.83,8.07,8.27,8.49,8.97,9.35,10.07,10.26,10.47,11.08,11.47,11.77,11.59,11.55,11.75,12.22,12.09,12.32
"Residential : South Atlantic","cents per kilowatthour","ELEC.PRICE.SAT-RES.A",8.05,7.91,8.10,8.33,8.83,9.76,10.03,10.67,11.32,10.96,11.19,11.38,11.39,11.74,11.74,11.56,11.86,11.70,11.93,11.79,12.10,13.44,14.45
"Residential : Delaware","cents per kilowatthour","ELEC.PRICE.DE-RES.A",8.61,8.70,8.59,8.78,9.01,11.85,13.16,13.93,14.07,13.80,13.70,13.58,12.95,13.29,13.42,13.42,13.35,12.53,12.55,12.56,12.52,13.71,15.73
"Residential : District Of Columbia","cents per kilowatthour","ELEC.PRICE.DC-RES.A",7.79,7.98,7.84,8.00,9.10,9.88,11.18,12.78,13.73,14.01,13.40,12.28,12.57,12.74,12.99,12.29,12.94,12.84,12.98,12.63,13.09,14.18,16.45
"Residential : Florida","cents per kilowatthour","ELEC.PRICE.FL-RES.A",8.59,8.16,8.55,8.99,9.62,11.33,11.22,11.65,12.39,11.44,11.51,11.42,11.27,11.89,11.58,10.98,11.61,11.54,11.70,11.27,11.90,13.90,15.21
"Residential : Georgia","cents per kilowatthour","ELEC.PRICE.GA-RES.A",7.72,7.63,7.70,7.86,8.64,8.91,9.10,9.93,10.13,10.07,11.05,11.17,11.46,11.65,11.54,11.50,11.90,11.47,11.76,12.02,12.51,13.80,13.69
