Average retail price of electricity,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=1,0&geo=vvvvvvvvvvvvo&endsec=4&linechart=ELEC.PRICE.US-COM.A&columnchart=ELEC.PRICE.US-COM.A&map=ELEC.PRICE.US-COM.A&freq=A&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=",,,,,,,,,,,,,,,,,,,,,,,,,
Thu Dec 12 2024 11:58:51 GMT-0700 (Mountain Standard Time),,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,
description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Commercial : Minnesota,cents per kilowatthour,ELEC.PRICE.MN-COM.A,6.03,5.88,6.12,6.31,6.59,7.02,7.48,7.88,7.92,8.38,8.63,8.84,9.42,9.85,9.44,9.86,10.48,10.38,10.34,10.43,11.22,12.3,12.39
Commercial : Missouri,cents per kilowatthour,ELEC.PRICE.MO-COM.A,5.89,5.88,5.78,5.8,5.92,6.08,6.34,6.61,6.96,7.5,8.04,8.2,8.8,8.9,9.16,9.26,9.47,9.4,9.07,8.93,9.17,9.55,10.14
Commercial : Nebraska,cents per kilowatthour,ELEC.PRICE.NE-COM.A,5.48,5.62,5.81,5.84,5.98,6.19,6.39,6.68,7.33,7.63,7.99,8.38,8.6,8.73,8.67,8.8,8.85,8.83,8.85,8.89,8.81,8.82,8.76
Commercial : North Dakota,cents per kilowatthour,ELEC.PRICE.ND-COM.A,5.99,5.85,5.64,5.86,6.11,6.3,6.58,6.81,6.81,7.21,7.61,8.02,8.39,8.79,8.83,9.15,9.19,9.1,9.01,9.02,9.17,8.45,7.38
Commercial : South Dakota,cents per kilowatthour,ELEC.PRICE.SD-COM.A,6.55,6.24,6.04,6.18,6.2,6.47,6.61,6.97,7.14,7.55,7.76,8.1,8.51,8.89,9.16,9.58,9.74,9.62,9.59,9.65,10.15,10.21,10.16
Commercial : South Atlantic,cents per kilowatthour,ELEC.PRICE.SAT-COM.A,6.6,6.45,6.7,6.96,7.49,8.46,8.66,9.31,9.61,9.29,9.46,9.37,9.38,9.68,9.49,9.24,9.39,9.3,9.36,9.05,9.41,10.83,10.82
Commercial : Delaware,cents per kilowatthour,ELEC.PRICE.DE-COM.A,7,7.15,7.31,7.44,7.6,10.21,11.21,12.09,12.03,11.36,10.64,10.13,10.2,10.5,10.25,10.07,9.89,9.65,9.53,9.18,9.48,10.98,11.83
Commercial : District Of Columbia,cents per kilowatthour,ELEC.PRICE.DC-COM.A,7.45,7.32,7.35,7.45,9.13,11.17,12.01,13.3,13.26,13.42,12.9,12.02,11.94,12.19,12.01,11.72,11.66,11.97,12.26,11.85,13,15.6,16.94
Commercial : Florida,cents per kilowatthour,ELEC.PRICE.FL-COM.A,7.08,6.64,7.13,7.61,8.16,9.91,9.75,10.14,10.77,9.76,9.85,9.66,9.39,9.87,9.5,8.9,9.35,9.19,9.27,8.85,9.51,11.19,11.95
Commercial : Georgia,cents per kilowatthour,ELEC.PRICE.GA-COM.A,6.61,6.46,6.66,6.88,7.67,7.81,8.07,9.07,8.94,9.06,9.87,9.58,9.99,10.36,9.89,9.81,10.09,9.79,10.02,10.08,10.61,12.1,10.7
Commercial : Maryland,cents per kilowatthour,ELEC.PRICE.MD-COM.A,6.36,6.31,6.95,7.56,8.97,10.56,11.58,12.77,11.98,11.75,11.28,10.43,10.68,11.15,11,10.99,10.75,10.43,9.97,9.72,10.26,12.65,12.77
Commercial : North Carolina,cents per kilowatthour,ELEC.PRICE.NC-COM.A,6.42,6.51,6.65,6.7,6.86,7.17,7.43,7.55,7.98,8.16,8.13,8.66,8.76,8.75,8.73,8.62,8.44,8.58,8.81,8.69,8.5,8.75,9.67
Commercial : South Carolina,cents per kilowatthour,ELEC.PRICE.SC-COM.A,6.45,6.48,6.81,6.91,7.39,7.6,7.74,8.42,8.74,8.9,9.3,9.63,9.88,10.28,10.21,10.28,10.57,10.11,10.58,10.35,10.67,10.86,10.39
Commercial : Virginia,cents per kilowatthour,ELEC.PRICE.VA-COM.A,5.85,5.87,5.74,5.88,6.05,6.21,6.38,7.32,8.06,7.65,7.95,8.08,8,8.15,8.21,7.93,8.01,8.32,8.18,7.63,7.79,9.66,8.95
Commercial : West Virginia,cents per kilowatthour,ELEC.PRICE.WV-COM.A,5.44,5.41,5.45,5.46,5.53,5.59,5.85,6.08,6.77,7.66,8.14,8.42,8.17,7.99,8.61,9.35,9.58,9.24,9.16,9.4,9.5,10.42,11.03
Commercial : East South Central,cents per kilowatthour,ELEC.PRICE.ESC-COM.A,6.25,6.33,6.52,6.89,7.19,7.9,8.07,9.07,9.26,9.34,9.8,9.87,9.81,10.34,10.24,10.2,10.6,10.52,10.74,10.73,11.07,12.21,12.13
Commercial : Alabama,cents per kilowatthour,ELEC.PRICE.AL-COM.A,6.53,6.63,6.85,7.12,7.5,8.18,8.7,9.87,10.05,10.18,10.47,10.63,10.51,10.79,10.83,11.11,11.6,11.24,11.52,11.55,11.84,13.16,13.16
Commercial : Kentucky,cents per kilowatthour,ELEC.PRICE.KY-COM.A,5.2,5.3,5.37,5.6,6.01,6.44,6.76,7.29,7.63,7.88,8.49,8.73,8.56,9.44,9.44,9.57,9.85,9.74,10.15,10.34,10.75,11.78,11.38
