fips,2024
01,80
01001,80
01003,80
01005,80
01007,80
01009,80
01011,80
01013,80
01015,80
01017,80
01019,80
01021,80
01023,80
01025,80
01027,80
01029,80
01031,80
01033,80
01035,80
01037,80
01039,80
01041,80
01043,80
01045,80
01047,80
01049,80
01051,80
01053,80
01055,80
01057,80
01059,80
01061,80
01063,80
01065,80
01067,80
01069,80
01071,80
01073,80
01075,80
01077,80
01079,80
01081,80
01083,80
01085,80
01087,80
01089,80
01091,80
01093,80
01095,80
01097,80
01099,80
01101,80
01103,80
01105,80
01107,80
01109,80
01111,80
01113,80
01115,80
01117,80
01119,80
01121,80
01123,80
01125,80
01127,80
01129,80
01131,80
01133,80
04001,80
04003,80
04005,80
04007,80
04009,80
04011,80
04012,80
04013,80
04015,80
04017,80
04019,80
04021,80
04023,80
04025,80
04027,80
05001,80
05003,80
05005,80
05007,80
05009,80
05011,80
05013,80
05015,80
05017,80
05019,80
05021,80
05023,80
05025,80
05027,80
05029,80
05031,80
05033,80
05035,80
05037,80
05039,80
05041,80
05043,80
05045,80
05047,80
05049,80
05051,80
05053,80
05055,80
05057,80
05059,80
05061,80
05063,80
05065,80
05067,80
05069,80
05071,80
05073,80
05075,80
05077,80
05079,80
05081,80
05083,80
05085,80
05087,80
05089,80
05091,80
05093,80
05095,80
05097,80
05099,80
05101,80
05103,80
05105,80
05107,80
05109,80
05111,80
05113,80
05115,80
05117,80
05119,80
05121,80
05123,80
05125,80
05127,80
05129,80
05131,80
05133,80
05135,80
05137,80
05139,80
05141,80
05143,80
05145,80
05147,80
05149,80
06001,80
06003,80
06005,80
06007,80
06009,80
06011,80
06013,80
06015,80
06017,80
06019,80
06021,80
06023,80
06025,80
06027,80
06029,80
06031,80
06033,80
06035,80
06037,80
06039,80
06041,80
06043,80
06045,80
06047,80
06049,80
06051,80
06053,80
06055,80
06057,80
06059,80
06061,80
06063,80
06065,80
06067,80
06069,80
06071,80
06073,80
06075,80
06077,80
06079,80
06081,80
06083,80
06085,80
06087,80
06089,80
06091,80
06093,80
06095,80
06097,80
06099,80
06101,80
06103,80
06105,80
06107,80
06109,80
06111,80
06113,80
06115,80
08001,80
08003,80
08005,80
08007,80
08009,80
08011,80
08013,80
08014,80
08015,80
08017,80
08019,80
08021,80
08023,80
08025,80
08027,80
08029,80
08031,80
08033,80
08035,80
08037,80
08039,80
08041,80
08043,80
08045,80
08047,80
08049,80
08051,80
08053,80
08055,80
08057,80
08059,80
08061,80
08063,80
08065,80
08067,80
08069,80
08071,80
08073,80
08075,80
08077,80
08079,80
08081,80
08083,80
08085,80
08087,80
08089,80
08091,80
08093,80
08095,80
08097,80
08099,80
08101,80
08103,80
08105,80
08107,80
08109,80
08111,80
08113,80
08115,80
08117,80
08119,80
08121,80
08123,80
08125,80
09001,80
09003,80
09005,80
09007,80
09009,80
09011,80
09013,80
09015,80
10001,80
10003,80
10005,80
11001,80
12001,80
12003,80
12005,80
12007,80
12009,80
12011,80
12013,80
12015,80
12017,80
12019,80
12021,80
12023,80
12027,80
12029,80
12031,80
12033,80
12035,80
12037,80
12039,80
12041,80
12043,80
12045,80
12047,80
12049,80
12051,80
12053,80
12055,80
12057,80
12059,80
12061,80
12063,80
12065,80
12067,80
12069,80
12071,80
12073,80
12075,80
12077,80
12079,80
12081,80
12083,80
12085,80
12086,80
12087,80
12089,80
12091,80
12093,80
12095,80
12097,80
12099,80
12101,80
12103,80
12105,80
12107,80
12109,80
12111,80
12113,80
12115,80
12117,80
12119,80
12121,80
12123,80
12125,80
12127,80
12129,80
12131,80
12133,80
13001,80
13003,80
13005,80
13007,80
13009,80
13011,80
13013,80
13015,80
13017,80
13019,80
13021,80
13023,80
13025,80
13027,80
13029,80
13031,80
13033,80
13035,80
13037,80
13039,80
13043,80
13045,80
13047,80
13049,80
13051,80
13053,80
13055,80
13057,80
13059,80
13061,80
13063,80
13065,80
13067,80
13069,80
13071,80
13073,80
13075,80
13077,80
13079,80
13081,80
13083,80
13085,80
13087,80
13089,80
13091,80
13093,80
13095,80
13097,80
13099,80
13101,80
13103,80
13105,80
13107,80
13109,80
13111,80
13113,80
13115,80
13117,80
13119,80
13121,80
13123,80
13125,80
13127,80
13129,80
13131,80
13133,80
13135,80
13137,80
13139,80
13141,80
13143,80
13145,80
13147,80
13149,80
