fips,2022,2023
01,12.01,15.91
01001,12.01,15.91
01003,12.01,15.91
01005,12.01,15.91
01007,12.01,15.91
01009,12.01,15.91
01011,12.01,15.91
01013,12.01,15.91
01015,12.01,15.91
01017,12.01,15.91
01019,12.01,15.91
01021,12.01,15.91
01023,12.01,15.91
01025,12.01,15.91
01027,12.01,15.91
01029,12.01,15.91
01031,12.01,15.91
01033,12.01,15.91
01035,12.01,15.91
01037,12.01,15.91
01039,12.01,15.91
01041,12.01,15.91
01043,12.01,15.91
01045,12.01,15.91
01047,12.01,15.91
01049,12.01,15.91
01051,12.01,15.91
01053,12.01,15.91
01055,12.01,15.91
01057,12.01,15.91
01059,12.01,15.91
01061,12.01,15.91
01063,12.01,15.91
01065,12.01,15.91
01067,12.01,15.91
01069,12.01,15.91
01071,12.01,15.91
01073,12.01,15.91
01075,12.01,15.91
01077,12.01,15.91
01079,12.01,15.91
01081,12.01,15.91
01083,12.01,15.91
01085,12.01,15.91
01087,12.01,15.91
01089,12.01,15.91
01091,12.01,15.91
01093,12.01,15.91
01095,12.01,15.91
01097,12.01,15.91
01099,12.01,15.91
01101,12.01,15.91
01103,12.01,15.91
01105,12.01,15.91
01107,12.01,15.91
01109,12.01,15.91
01111,12.01,15.91
01113,12.01,15.91
01115,12.01,15.91
01117,12.01,15.91
01119,12.01,15.91
01121,12.01,15.91
01123,12.01,15.91
01125,12.01,15.91
01127,12.01,15.91
01129,12.01,15.91
01131,12.01,15.91
01133,12.01,15.91
04001,12.01,15.91
04003,12.01,15.91
04005,12.01,15.91
04007,12.01,15.91
04009,12.01,15.91
04011,12.01,15.91
04012,12.01,15.91
04013,12.01,15.91
04015,12.01,15.91
04017,12.01,15.91
04019,12.01,15.91
04021,12.01,15.91
04023,12.01,15.91
04025,12.01,15.91
04027,12.01,15.91
05001,12.01,15.91
05003,12.01,15.91
05005,12.01,15.91
05007,12.01,15.91
05009,12.01,15.91
05011,12.01,15.91
05013,12.01,15.91
05015,12.01,15.91
05017,12.01,15.91
05019,12.01,15.91
05021,12.01,15.91
05023,12.01,15.91
05025,12.01,15.91
05027,12.01,15.91
05029,12.01,15.91
05031,12.01,15.91
05033,12.01,15.91
05035,12.01,15.91
05037,12.01,15.91
05039,12.01,15.91
05041,12.01,15.91
05043,12.01,15.91
05045,12.01,15.91
05047,12.01,15.91
05049,12.01,15.91
05051,12.01,15.91
05053,12.01,15.91
05055,12.01,15.91
05057,12.01,15.91
05059,12.01,15.91
05061,12.01,15.91
05063,12.01,15.91
05065,12.01,15.91
05067,12.01,15.91
05069,12.01,15.91
05071,12.01,15.91
05073,12.01,15.91
05075,12.01,15.91
05077,12.01,15.91
05079,12.01,15.91
05081,12.01,15.91
05083,12.01,15.91
05085,12.01,15.91
05087,12.01,15.91
05089,12.01,15.91
05091,12.01,15.91
05093,12.01,15.91
05095,12.01,15.91
05097,12.01,15.91
05099,12.01,15.91
05101,12.01,15.91
05103,12.01,15.91
05105,12.01,15.91
05107,12.01,15.91
05109,12.01,15.91
05111,12.01,15.91
05113,12.01,15.91
05115,12.01,15.91
05117,12.01,15.91
05119,12.01,15.91
05121,12.01,15.91
05123,12.01,15.91
05125,12.01,15.91
05127,12.01,15.91
05129,12.01,15.91
05131,12.01,15.91
05133,12.01,15.91
05135,12.01,15.91
05137,12.01,15.91
05139,12.01,15.91
05141,12.01,15.91
05143,12.01,15.91
05145,12.01,15.91
05147,12.01,15.91
05149,12.01,15.91
06001,12.01,15.91
06003,12.01,15.91
06005,12.01,15.91
06007,12.01,15.91
06009,12.01,15.91
06011,12.01,15.91
06013,12.01,15.91
06015,12.01,15.91
06017,12.01,15.91
06019,12.01,15.91
06021,12.01,15.91
06023,12.01,15.91
06025,12.01,15.91
06027,12.01,15.91
06029,12.01,15.91
06031,12.01,15.91
06033,12.01,15.91
06035,12.01,15.91
06037,12.01,15.91
06039,12.01,15.91
06041,12.01,15.91
06043,12.01,15.91
06045,12.01,15.91
06047,12.01,15.91
06049,12.01,15.91
06051,12.01,15.91
06053,12.01,15.91
06055,12.01,15.91
06057,12.01,15.91
06059,12.01,15.91
06061,12.01,15.91
06063,12.01,15.91
06065,12.01,15.91
06067,12.01,15.91
06069,12.01,15.91
06071,12.01,15.91
06073,12.01,15.91
06075,12.01,15.91
06077,12.01,15.91
06079,12.01,15.91
06081,12.01,15.91
06083,12.01,15.91
06085,12.01,15.91
06087,12.01,15.91
06089,12.01,15.91
06091,12.01,15.91
06093,12.01,15.91
06095,12.01,15.91
06097,12.01,15.91
06099,12.01,15.91
06101,12.01,15.91
06103,12.01,15.91
06105,12.01,15.91
06107,12.01,15.91
06109,12.01,15.91
06111,12.01,15.91
06113,12.01,15.91
06115,12.01,15.91
08001,12.01,15.91
08003,12.01,15.91
08005,12.01,15.91
08007,12.01,15.91
08009,12.01,15.91
08011,12.01,15.91
08013,12.01,15.91
08014,12.01,15.91
08015,12.01,15.91
08017,12.01,15.91
08019,12.01,15.91
08021,12.01,15.91
08023,12.01,15.91
08025,12.01,15.91
08027,12.01,15.91
08029,12.01,15.91
08031,12.01,15.91
08033,12.01,15.91
08035,12.01,15.91
08037,12.01,15.91
08039,12.01,15.91
08041,12.01,15.91
08043,12.01,15.91
08045,12.01,15.91
08047,12.01,15.91
08049,12.01,15.91
08051,12.01,15.91
08053,12.01,15.91
08055,12.01,15.91
08057,12.01,15.91
08059,12.01,15.91
08061,12.01,15.91
08063,12.01,15.91
08065,12.01,15.91
08067,12.01,15.91
08069,12.01,15.91
08071,12.01,15.91
08073,12.01,15.91
08075,12.01,15.91
08077,12.01,15.91
08079,12.01,15.91
08081,12.01,15.91
08083,12.01,15.91
08085,12.01,15.91
08087,12.01,15.91
08089,12.01,15.91
