fips,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01,2.248716908587453,2.6235030600186953,2.9762429672480994,2.932150478844424,2.6235030600186953,2.4250868622021553,2.3148556411929664,2.5794105716150195,3.130566676660964,3.791954002716097,3.990370200532637,5.754069736679659,5.4454223178539305,3.4833065838903683,3.703769025908746,3.747861514312422,3.505352828092206,3.549445316495882,3.7699077585142597,4.2990176193583665,5.754069736679659,7.14298312139544
01001,2.11864406779661,2.755780525229722,2.7998730136333974,2.6896417926242084,2.469179350605831,2.1781689271415723,1.951092611862643,2.3809943737984796,3.130566676660964,3.791954002716097,3.990370200532637,5.754069736679659,5.4454223178539305,3.4833065838903683,3.703769025908746,3.747861514312422,3.505352828092206,3.549445316495882,3.7699077585142597,4.2990176193583665,5.754069736679659,7.14298312139544
01003,2.11864406779661,2.755780525229722,2.7998730136333974,2.6896417926242084,2.469179350605831,2.1781689271415723,1.951092611862643,2.3809943737984796,3.130566676660964,3.791954002716097,3.990370200532637,5.754069736679659,5.4454223178539305,3.4833065838903683,3.703769025908746,3.747861514312422,3.505352828092206,3.549445316495882,3.7699077585142597,4.2990176193583665,5.754069736679659,7.14298312139544
01005,2.11864406779661,2.755780525229722,2.7998730136333974,2.6896417926242084,2.469179350605831,2.1781689271415723,1.951092611862643,2.3809943737984796,3.130566676660964,3.791954002716097,3.990370200532637,5.754069736679659,5.4454223178539305,3.4833065838903683,3.703769025908746,3.747861514312422,3.505352828092206,3.549445316495882,3.7699077585142597,4.2990176193583665,5.754069736679659,7.14298312139544
01007,2.11864406779661,2.755780525229722,2.7998730136333974,2.6896417926242084,2.469179350605831,2.1781689271415723,1.951092611862643,2.3809943737984796,3.130566676660964,3.791954002716097,3.990370200532637,5.754069736679659,5.4454223178539305,3.4833065838903683,3.703769025908746,3.747861514312422,3.505352828092206,3.549445316495882,3.7699077585142597,4.2990176193583665,5.754069736679659,7.14298312139544
01009,2.11864406779661,2.755780525229722,2.7998730136333974,2.6896417926242084,2.469179350605831,2.1781689271415723,1.951092611862643,2.3809943737984796,3.130566676660964,3.791954002716097,3.990370200532637,5.754069736679659,5.4454223178539305,3.4833065838903683,3.703769025908746,3.747861514312422,3.505352828092206,3.549445316495882,3.7699077585142597,4.2990176193583665,5.754069736679659,7.14298312139544
01011,2.11864406779661,2.755780525229722,2.7998730136333974,2.6896417926242084,2.469179350605831,2.1781689271415723,1.951092611862643,2.3809943737984796,3.130566676660964,3.791954002716097,3.990370200532637,5.754069736679659,5.4454223178539305,3.4833065838903683,3.703769025908746,3.747861514312422,3.505352828092206,3.549445316495882,3.7699077585142597,4.2990176193583665,5.754069736679659,7.14298312139544
01013,2.11864406779661,2.755780525229722,2.7998730136333974,2.6896417926242084,2.469179350605831,2.1781689271415723,1.951092611862643,2.3809943737984796,3.130566676660964,3.791954002716097,3.990370200532637,5.754069736679659,5.4454223178539305,3.4833065838903683,3.703769025908746,3.747861514312422,3.505352828092206,3.549445316495882,3.7699077585142597,4.2990176193583665,5.754069736679659,7.14298312139544
01015,2.11864406779661,2.755780525229722,2.7998730136333974,2.6896417926242084,2.469179350605831,2.1781689271415723,1.951092611862643,2.3809943737984796,3.130566676660964,3.791954002716097,3.990370200532637,5.754069736679659,5.4454223178539305,3.4833065838903683,3.703769025908746,3.747861514312422,3.505352828092206,3.549445316495882,3.7699077585142597,4.2990176193583665,5.754069736679659,7.14298312139544
01017,2.11864406779661,2.755780525229722,2.7998730136333974,2.6896417926242084,2.469179350605831,2.1781689271415723,1.951092611862643,2.3809943737984796,3.130566676660964,3.791954002716097,3.990370200532637,5.754069736679659,5.4454223178539305,3.4833065838903683,3.703769025908746,3.747861514312422,3.505352828092206,3.549445316495882,3.7699077585142597,4.2990176193583665,5.754069736679659,7.14298312139544
