fips,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01,34.644036,35.990556,40.991916,40.116678,39.328002,39.318384,39.81852,40.8765,39.491508,38.52009,41.40549,37.94301,38.750922,38.510472,39.28953,41.30931,41.241984,43.213674,39.222204,37.587144,39.328002,37.212042,37.183188,37.26975,38.27964
01001,34.644036,35.990556,40.991916,40.116678,39.328002,39.318384,39.81852,40.8765,39.491508,38.52009,41.40549,37.94301,38.750922,38.510472,39.28953,41.30931,41.241984,43.213674,39.222204,37.587144,39.328002,37.212042,37.183188,37.26975,38.27964
01003,34.644036,35.990556,40.991916,40.116678,39.328002,39.318384,39.81852,40.8765,39.491508,38.52009,41.40549,37.94301,38.750922,38.510472,39.28953,41.30931,41.241984,43.213674,39.222204,37.587144,39.328002,37.212042,37.183188,37.26975,38.27964
01005,34.644036,35.990556,40.991916,40.116678,39.328002,39.318384,39.81852,40.8765,39.491508,38.52009,41.40549,37.94301,38.750922,38.510472,39.28953,41.30931,41.241984,43.213674,39.222204,37.587144,39.328002,37.212042,37.183188,37.26975,38.27964
01007,34.644036,35.990556,40.991916,40.116678,39.328002,39.318384,39.81852,40.8765,39.491508,38.52009,41.40549,37.94301,38.750922,38.510472,39.28953,41.30931,41.241984,43.213674,39.222204,37.587144,39.328002,37.212042,37.183188,37.26975,38.27964
01009,34.644036,35.990556,40.991916,40.116678,39.328002,39.318384,39.81852,40.8765,39.491508,38.52009,41.40549,37.94301,38.750922,38.510472,39.28953,41.30931,41.241984,43.213674,39.222204,37.587144,39.328002,37.212042,37.183188,37.26975,38.27964
01011,34.644036,35.990556,40.991916,40.116678,39.328002,39.318384,39.81852,40.8765,39.491508,38.52009,41.40549,37.94301,38.750922,38.510472,39.28953,41.30931,41.241984,43.213674,39.222204,37.587144,39.328002,37.212042,37.183188,37.26975,38.27964
01013,34.644036,35.990556,40.991916,40.116678,39.328002,39.318384,39.81852,40.8765,39.491508,38.52009,41.40549,37.94301,38.750922,38.510472,39.28953,41.30931,41.241984,43.213674,39.222204,37.587144,39.328002,37.212042,37.183188,37.26975,38.27964
01015,34.644036,35.990556,40.991916,40.116678,39.328002,39.318384,39.81852,40.8765,39.491508,38.52009,41.40549,37.94301,38.750922,38.510472,39.28953,41.30931,41.241984,43.213674,39.222204,37.587144,39.328002,37.212042,37.183188,37.26975,38.27964
01017,34.644036,35.990556,40.991916,40.116678,39.328002,39.318384,39.81852,40.8765,39.491508,38.52009,41.40549,37.94301,38.750922,38.510472,39.28953,41.30931,41.241984,43.213674,39.222204,37.587144,39.328002,37.212042,37.183188,37.26975,38.27964
