fips,2013,2018,2023
06109,45.59,67.97,71.98
06111,45.59,67.97,71.98
06113,45.59,67.97,71.98
06115,45.59,67.97,71.98
08001,16.96,14.19,24.12
08003,16.96,14.19,24.12
08005,16.96,14.19,24.12
08007,16.96,14.19,24.12
08009,16.96,14.19,24.12
08011,16.96,14.19,24.12
08013,16.96,14.19,24.12
08014,16.96,14.19,24.12
08015,16.96,14.19,24.12
08017,16.96,14.19,24.12
08019,16.96,14.19,24.12
08021,16.96,14.19,24.12
08023,16.96,14.19,24.12
08025,16.96,14.19,24.12
08027,16.96,14.19,24.12
08029,16.96,14.19,24.12
08031,16.96,14.19,24.12
08033,16.96,14.19,24.12
08035,16.96,14.19,24.12
08037,16.96,14.19,24.12
08039,16.96,14.19,24.12
08041,16.96,14.19,24.12
08043,16.96,14.19,24.12
08045,16.96,14.19,24.12
08047,16.96,14.19,24.12
08049,16.96,14.19,24.12
08051,16.96,14.19,24.12
08053,16.96,14.19,24.12
08055,16.96,14.19,24.12
08057,16.96,14.19,24.12
08059,16.96,14.19,24.12
08061,16.96,14.19,24.12
08063,16.96,14.19,24.12
08065,16.96,14.19,24.12
08067,16.96,14.19,24.12
08069,16.96,14.19,24.12
08071,16.96,14.19,24.12
08073,16.96,14.19,24.12
08075,16.96,14.19,24.12
08077,16.96,14.19,24.12
08079,16.96,14.19,24.12
08081,16.96,14.19,24.12
08083,16.96,14.19,24.12
08085,16.96,14.19,24.12
08087,16.96,14.19,24.12
08089,16.96,14.19,24.12
08091,16.96,14.19,24.12
08093,16.96,14.19,24.12
08095,16.96,14.19,24.12
08097,16.96,14.19,24.12
08099,16.96,14.19,24.12
08101,16.96,14.19,24.12
08103,16.96,14.19,24.12
08105,16.96,14.19,24.12
08107,16.96,14.19,24.12
08109,16.96,14.19,24.12
08111,16.96,14.19,24.12
08113,16.96,14.19,24.12
08115,16.96,14.19,24.12
08117,16.96,14.19,24.12
08119,16.96,14.19,24.12
08121,16.96,14.19,24.12
08123,16.96,14.19,24.12
08125,16.96,14.19,24.12
09001,155.41,,1204.09
09003,155.41,,1204.09
09005,155.41,,1204.09
09007,155.41,,1204.09
09009,155.41,,1204.09
09011,155.41,,1204.09
09013,155.41,,1204.09
09015,155.41,,1204.09
10001,200.0,42.37,54.22
10003,200.0,42.37,54.22
10005,200.0,42.37,54.22
11001,32.95,42.37,54.22
12001,64.72,124.12,42.15
12003,64.72,124.12,42.15
12005,64.72,124.12,42.15
12007,64.72,124.12,42.15
12009,64.72,124.12,42.15
12011,64.72,124.12,42.15
12013,64.72,124.12,42.15
12015,64.72,124.12,42.15
12017,64.72,124.12,42.15
12019,64.72,124.12,42.15
12021,64.72,124.12,42.15
12023,64.72,124.12,42.15
12027,64.72,124.12,42.15
12029,64.72,124.12,42.15
12031,64.72,124.12,42.15
12033,64.72,124.12,42.15
12035,64.72,124.12,42.15
12037,64.72,124.12,42.15
12039,64.72,124.12,42.15
12041,64.72,124.12,42.15
12043,64.72,124.12,42.15
12045,64.72,124.12,42.15
12047,64.72,124.12,42.15
12049,64.72,124.12,42.15
12051,64.72,124.12,42.15
12053,64.72,124.12,42.15
12055,64.72,124.12,42.15
12057,64.72,124.12,42.15
12059,64.72,124.12,42.15
12061,64.72,124.12,42.15
12063,64.72,124.12,42.15
12065,64.72,124.12,42.15
12067,64.72,124.12,42.15
12069,64.72,124.12,42.15
12071,64.72,124.12,42.15
12073,64.72,124.12,42.15
12075,64.72,124.12,42.15
12077,64.72,124.12,42.15
12079,64.72,124.12,42.15
12081,64.72,124.12,42.15
12083,64.72,124.12,42.15
12085,64.72,124.12,42.15
12086,64.72,124.12,42.15
12087,64.72,124.12,42.15
12089,64.72,124.12,42.15
12091,64.72,124.12,42.15
12093,64.72,124.12,42.15
12095,64.72,124.12,42.15
12097,64.72,124.12,42.15
12099,64.72,124.12,42.15
12101,64.72,124.12,42.15
12103,64.72,124.12,42.15
12105,64.72,124.12,42.15
12107,64.72,124.12,42.15
12109,64.72,124.12,42.15
12111,64.72,124.12,42.15
12113,64.72,124.12,42.15
12115,64.72,124.12,42.15
12117,64.72,124.12,42.15
12119,64.72,124.12,42.15
12121,64.72,124.12,42.15
12123,64.72,124.12,42.15
12125,64.72,124.12,42.15
12127,64.72,124.12,42.15
12129,64.72,124.12,42.15
12131,64.72,124.12,42.15
12133,64.72,124.12,42.15
13001,41.63,43.59,229.64
13003,41.63,43.59,229.64
13005,41.63,43.59,229.64
13007,41.63,43.59,229.64
13009,41.63,43.59,229.64
13011,41.63,43.59,229.64
13013,41.63,43.59,229.64
13015,41.63,43.59,229.64
13017,41.63,43.59,229.64
13019,41.63,43.59,229.64
13021,41.63,43.59,229.64
13023,41.63,43.59,229.64
13025,41.63,43.59,229.64
13027,41.63,43.59,229.64
13029,41.63,43.59,229.64
13031,41.63,43.59,229.64
13033,41.63,43.59,229.64
13035,41.63,43.59,229.64
13037,41.63,43.59,229.64
13039,41.63,43.59,229.64
13043,41.63,43.59,229.64
13045,41.63,43.59,229.64
13047,41.63,43.59,229.64
13049,41.63,43.59,229.64
13051,41.63,43.59,229.64
13053,41.63,43.59,229.64
13055,41.63,43.59,229.64
13057,41.63,43.59,229.64
13059,41.63,43.59,229.64
13061,41.63,43.59,229.64
13063,41.63,43.59,229.64
13065,41.63,43.59,229.64
13067,41.63,43.59,229.64
13069,41.63,43.59,229.64
13071,41.63,43.59,229.64
13073,41.63,43.59,229.64
13075,41.63,43.59,229.64
13077,41.63,43.59,229.64
13079,41.63,43.59,229.64
13081,41.63,43.59,229.64
13083,41.63,43.59,229.64
13085,41.63,43.59,229.64
13087,41.63,43.59,229.64
13089,41.63,43.59,229.64
13091,41.63,43.59,229.64
13093,41.63,43.59,229.64
13095,41.63,43.59,229.64
13097,41.63,43.59,229.64
13099,41.63,43.59,229.64
13101,41.63,43.59,229.64
13103,41.63,43.59,229.64
13105,41.63,43.59,229.64
13107,41.63,43.59,229.64
13109,41.63,43.59,229.64
13111,41.63,43.59,229.64
13113,41.63,43.59,229.64
13115,41.63,43.59,229.64
13117,41.63,43.59,229.64
13119,41.63,43.59,229.64
13121,41.63,43.59,229.64
13123,41.63,43.59,229.64
13125,41.63,43.59,229.64
13127,41.63,43.59,229.64
13129,41.63,43.59,229.64
13131,41.63,43.59,229.64
13133,41.63,43.59,229.64
13135,41.63,43.59,229.64
13137,41.63,43.59,229.64
13139,41.63,43.59,229.64
13141,41.63,43.59,229.64
13143,41.63,43.59,229.64
13145,41.63,43.59,229.64
13147,41.63,43.59,229.64
13149,41.63,43.59,229.64
13151,41.63,43.59,229.64
13153,41.63,43.59,229.64
13155,41.63,43.59,229.64
13157,41.63,43.59,229.64
13159,41.63,43.59,229.64
13161,41.63,43.59,229.64
13163,41.63,43.59,229.64
13165,41.63,43.59,229.64
13167,41.63,43.59,229.64
13169,41.63,43.59,229.64
13171,41.63,43.59,229.64
13173,41.63,43.59,229.64
13175,41.63,43.59,229.64
13177,41.63,43.59,229.64
13179,41.63,43.59,229.64
13181,41.63,43.59,229.64
13183,41.63,43.59,229.64
13185,41.63,43.59,229.64
13187,41.63,43.59,229.64
13189,41.63,43.59,229.64
13191,41.63,43.59,229.64
13193,41.63,43.59,229.64
13195,41.63,43.59,229.64
13197,41.63,43.59,229.64
13199,41.63,43.59,229.64
13201,41.63,43.59,229.64
13205,41.63,43.59,229.64
13207,41.63,43.59,229.64
13209,41.63,43.59,229.64
13211,41.63,43.59,229.64
13213,41.63,43.59,229.64
13215,41.63,43.59,229.64
13217,41.63,43.59,229.64
13219,41.63,43.59,229.64
13221,41.63,43.59,229.64
13223,41.63,43.59,229.64
13225,41.63,43.59,229.64
13227,41.63,43.59,229.64
13229,41.63,43.59,229.64
13231,41.63,43.59,229.64
13233,41.63,43.59,229.64
13235,41.63,43.59,229.64
13237,41.63,43.59,229.64
13239,41.63,43.59,229.64
13241,41.63,43.59,229.64
13243,41.63,43.59,229.64
13245,41.63,43.59,229.64
13247,41.63,43.59,229.64
13249,41.63,43.59,229.64
13251,41.63,43.59,229.64
13253,41.63,43.59,229.64
13255,41.63,43.59,229.64
13257,41.63,43.59,229.64
13259,41.63,43.59,229.64
13261,41.63,43.59,229.64
13263,41.63,43.59,229.64
13265,41.63,43.59,229.64
13267,41.63,43.59,229.64
13269,41.63,43.59,229.64
13271,41.63,43.59,229.64
13273,41.63,43.59,229.64
13275,41.63,43.59,229.64
13277,41.63,43.59,229.64
13279,41.63,43.59,229.64
13281,41.63,43.59,229.64
13283,41.63,43.59,229.64
13285,41.63,43.59,229.64
13287,41.63,43.59,229.64
13289,41.63,43.59,229.64
13291,41.63,43.59,229.64
13293,41.63,43.59,229.64
13295,41.63,43.59,229.64
13297,41.63,43.59,229.64
13299,41.63,43.59,229.64
13301,41.63,43.59,229.64
13303,41.63,43.59,229.64
13305,41.63,43.59,229.64
13307,41.63,43.59,229.64
13309,41.63,43.59,229.64
13311,41.63,43.59,229.64
13313,41.63,43.59,229.64
13315,41.63,43.59,229.64
13317,41.63,43.59,229.64
13319,41.63,43.59,229.64
13321,41.63,43.59,229.64
16001,17.65,16.78,23.35
16003,17.65,16.78,23.35
16005,17.65,16.78,23.35
16007,17.65,16.78,23.35
16009,17.65,16.78,23.35
16011,17.65,16.78,23.35
16013,17.65,16.78,23.35
16015,17.65,16.78,23.35
16017,17.65,16.78,23.35
16019,17.65,16.78,23.35
16021,17.65,16.78,23.35
16023,17.65,16.78,23.35
16025,17.65,16.78,23.35
16027,17.65,16.78,23.35
16029,17.65,16.78,23.35
16031,17.65,16.78,23.35
16033,17.65,16.78,23.35
16035,17.65,16.78,23.35
16037,17.65,16.78,23.35
16039,17.65,16.78,23.35
16041,17.65,16.78,23.35
16043,17.65,16.78,23.35
16045,17.65,16.78,23.35
16047,17.65,16.78,23.35
16049,17.65,16.78,23.35
16051,17.65,16.78,23.35
16053,17.65,16.78,23.35
16055,17.65,16.78,23.35
16057,17.65,16.78,23.35
16059,17.65,16.78,23.35
16061,17.65,16.78,23.35
16063,17.65,16.78,23.35
16065,17.65,16.78,23.35
16067,17.65,16.78,23.35
16069,17.65,16.78,23.35
16071,17.65,16.78,23.35
16073,17.65,16.78,23.35
16075,17.65,16.78,23.35
16077,17.65,16.78,23.35
16079,17.65,16.78,23.35
16081,17.65,16.78,23.35
16083,17.65,16.78,23.35
16085,17.65,16.78,23.35
16087,17.65,16.78,23.35
17001,115.85,42.31,383.62
17003,115.85,42.31,383.62
17005,115.85,42.31,383.62
