fips,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01061,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01063,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01065,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01067,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01069,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01071,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01073,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01075,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01077,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01079,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01081,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01083,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01085,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01087,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01089,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01091,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01093,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01095,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01097,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01099,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01101,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01103,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01105,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01107,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01109,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01111,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01113,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01115,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01117,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01119,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01121,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01123,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01125,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01127,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01129,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01131,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
01133,1.456,1.371,1.319,1.5,1.789,2.235,2.524,2.717,3.188,2.28,2.702,3.423,3.479,3.374,3.216,2.256,2.024,2.295,2.532,2.353,1.924,2.763,3.595,3.176
04001,1.625,1.55,1.411,1.715,2.004,2.409,2.709,2.922,3.383,2.544,2.98,3.659,3.805,3.642,3.545,2.709,2.395,2.704,3.105,3.087,2.625,3.417,4.635,4.318
04003,1.625,1.55,1.411,1.715,2.004,2.409,2.709,2.922,3.383,2.544,2.98,3.659,3.805,3.642,3.545,2.709,2.395,2.704,3.105,3.087,2.625,3.417,4.635,4.318
04005,1.625,1.55,1.411,1.715,2.004,2.409,2.709,2.922,3.383,2.544,2.98,3.659,3.805,3.642,3.545,2.709,2.395,2.704,3.105,3.087,2.625,3.417,4.635,4.318
04007,1.625,1.55,1.411,1.715,2.004,2.409,2.709,2.922,3.383,2.544,2.98,3.659,3.805,3.642,3.545,2.709,2.395,2.704,3.105,3.087,2.625,3.417,4.635,4.318
04009,1.625,1.55,1.411,1.715,2.004,2.409,2.709,2.922,3.383,2.544,2.98,3.659,3.805,3.642,3.545,2.709,2.395,2.704,3.105,3.087,2.625,3.417,4.635,4.318
04011,1.625,1.55,1.411,1.715,2.004,2.409,2.709,2.922,3.383,2.544,2.98,3.659,3.805,3.642,3.545,2.709,2.395,2.704,3.105,3.087,2.625,3.417,4.635,4.318
04012,1.625,1.55,1.411,1.715,2.004,2.409,2.709,2.922,3.383,2.544,2.98,3.659,3.805,3.642,3.545,2.709,2.395,2.704,3.105,3.087,2.625,3.417,4.635,4.318
04013,1.625,1.55,1.411,1.715,2.004,2.409,2.709,2.922,3.383,2.544,2.98,3.659,3.805,3.642,3.545,2.709,2.395,2.704,3.105,3.087,2.625,3.417,4.635,4.318
04015,1.625,1.55,1.411,1.715,2.004,2.409,2.709,2.922,3.383,2.544,2.98,3.659,3.805,3.642,3.545,2.709,2.395,2.704,3.105,3.087,2.625,3.417,4.635,4.318
04017,1.625,1.55,1.411,1.715,2.004,2.409,2.709,2.922,3.383,2.544,2.98,3.659,3.805,3.642,3.545,2.709,2.395,2.704,3.105,3.087,2.625,3.417,4.635,4.318
04019,1.625,1.55,1.411,1.715,2.004,2.409,2.709,2.922,3.383,2.544,2.98,3.659,3.805,3.642,3.545,2.709,2.395,2.704,3.105,3.087,2.625,3.417,4.635,4.318
04021,1.625,1.55,1.411,1.715,2.004,2.409,2.709,2.922,3.383,2.544,2.98,3.659,3.805,3.642,3.545,2.709,2.395,2.704,3.105,3.087,2.625,3.417,4.635,4.318
