fips,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01115,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01117,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01119,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01121,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01123,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01125,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01127,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01129,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01131,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
01133,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
04001,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
04003,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
04005,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
04007,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
04009,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
04011,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
04012,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
04013,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
04015,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
04017,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
04019,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
04021,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
04023,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
04025,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
04027,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
05001,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05003,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05005,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05007,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05009,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05011,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05013,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05015,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05017,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05019,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05021,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05023,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05025,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05027,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05029,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05031,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05033,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05035,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05037,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05039,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05041,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05043,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05045,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05047,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05049,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05051,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05053,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05055,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05057,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05059,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05061,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05063,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05065,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05067,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05069,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05071,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05073,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05075,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05077,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05079,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05081,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05083,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05085,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05087,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05089,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05091,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05093,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05095,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05097,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05099,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05101,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05103,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05105,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05107,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05109,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05111,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05113,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05115,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05117,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05119,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05121,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05123,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05125,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05127,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05129,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05131,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05133,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05135,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05137,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05139,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05141,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05143,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05145,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05147,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
05149,2.497667,2.297833,2.164167,2.375,2.476667,2.282,2.117833,2.641,2.948,2.8315,2.860667
06001,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06003,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06005,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06007,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06009,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06011,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06013,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06015,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06017,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06019,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06021,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06023,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06025,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06027,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06029,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06031,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06033,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06035,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06037,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06039,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06041,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06043,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06045,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
06047,2.87,2.150833,2.054333,2.394667,2.4835,2.181,1.910833,2.4815,2.764167,2.558667,2.576333
