fips,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,47.97244357,49.74852234,50.76214868,50.68344546,51.82680823,54.26003263,54.91667788,55.66403354,57.40390996,60.18417941,65.35544032,68.14549984,70.60287995,76.89912163,73.04350432,76.51884475,81.81785692,83.91040504,84.66976841,85.57005298,81.84303552,81.11777965,83.50071984,87.63673275,89.71600224,89.14599376,96.08998672,114.676832,116.4707677
1001,46.68367862,48.13007874,49.31239812,49.18672367,51.02838621,52.85091038,53.73686979,54.51594006,55.97310907,58.38869267,64.48499672,66.90202029,70.33406467,75.1663423,71.58572499,75.25071531,81.53603445,83.51151785,84.29255987,85.03242242,81.27505485,80.5671419,82.78098861,86.69154353,88.68843415,88.11408994,95.01906132,113.3500985,115.1743843
1003,46.68367862,48.13007874,49.31239812,49.18672367,51.02838621,52.85091038,53.73686979,54.51594006,55.97310907,58.38869267,64.48499672,66.90202029,70.33406467,75.1663423,71.58572499,75.25071531,81.53603445,83.51151785,84.29255987,85.03242242,81.27505485,80.5671419,82.78098861,86.69154353,88.68843415,88.11408994,95.01906132,113.3500985,115.1743843
1005,46.68367862,48.13007874,49.31239812,49.18672367,51.02838621,52.85091038,53.73686979,54.51594006,55.97310907,58.38869267,64.48499672,66.90202029,70.33406467,75.1663423,71.58572499,75.25071531,81.53603445,83.51151785,84.29255987,85.03242242,81.27505485,80.5671419,82.78098861,86.69154353,88.68843415,88.11408994,95.01906132,113.3500985,115.1743843
1007,46.68367862,48.13007874,49.31239812,49.18672367,51.02838621,52.85091038,53.73686979,54.51594006,55.97310907,58.38869267,64.48499672,66.90202029,70.33406467,75.1663423,71.58572499,75.25071531,81.53603445,83.51151785,84.29255987,85.03242242,81.27505485,80.5671419,82.78098861,86.69154353,88.68843415,88.11408994,95.01906132,113.3500985,115.1743843
1009,46.68367862,48.13007874,49.31239812,49.18672367,51.02838621,52.85091038,53.73686979,54.51594006,55.97310907,58.38869267,64.48499672,66.90202029,70.33406467,75.1663423,71.58572499,75.25071531,81.53603445,83.51151785,84.29255987,85.03242242,81.27505485,80.5671419,82.78098861,86.69154353,88.68843415,88.11408994,95.01906132,113.3500985,115.1743843
1011,46.68367862,48.13007874,49.31239812,49.18672367,51.02838621,52.85091038,53.73686979,54.51594006,55.97310907,58.38869267,64.48499672,66.90202029,70.33406467,75.1663423,71.58572499,75.25071531,81.53603445,83.51151785,84.29255987,85.03242242,81.27505485,80.5671419,82.78098861,86.69154353,88.68843415,88.11408994,95.01906132,113.3500985,115.1743843
1013,46.68367862,48.13007874,49.31239812,49.18672367,51.02838621,52.85091038,53.73686979,54.51594006,55.97310907,58.38869267,64.48499672,66.90202029,70.33406467,75.1663423,71.58572499,75.25071531,81.53603445,83.51151785,84.29255987,85.03242242,81.27505485,80.5671419,82.78098861,86.69154353,88.68843415,88.11408994,95.01906132,113.3500985,115.1743843
1015,46.68367862,48.13007874,49.31239812,49.18672367,51.02838621,52.85091038,53.73686979,54.51594006,55.97310907,58.38869267,64.48499672,66.90202029,70.33406467,75.1663423,71.58572499,75.25071531,81.53603445,83.51151785,84.29255987,85.03242242,81.27505485,80.5671419,82.78098861,86.69154353,88.68843415,88.11408994,95.01906132,113.3500985,115.1743843
1017,46.68367862,48.13007874,49.31239812,49.18672367,51.02838621,52.85091038,53.73686979,54.51594006,55.97310907,58.38869267,64.48499672,66.90202029,70.33406467,75.1663423,71.58572499,75.25071531,81.53603445,83.51151785,84.29255987,85.03242242,81.27505485,80.5671419,82.78098861,86.69154353,88.68843415,88.11408994,95.01906132,113.3500985,115.1743843
1019,46.68367862,48.13007874,49.31239812,49.18672367,51.02838621,52.85091038,53.73686979,54.51594006,55.97310907,58.38869267,64.48499672,66.90202029,70.33406467,75.1663423,71.58572499,75.25071531,81.53603445,83.51151785,84.29255987,85.03242242,81.27505485,80.5671419,82.78098861,86.69154353,88.68843415,88.11408994,95.01906132,113.3500985,115.1743843
1021,46.68367862,48.13007874,49.31239812,49.18672367,51.02838621,52.85091038,53.73686979,54.51594006,55.97310907,58.38869267,64.48499672,66.90202029,70.33406467,75.1663423,71.58572499,75.25071531,81.53603445,83.51151785,84.29255987,85.03242242,81.27505485,80.5671419,82.78098861,86.69154353,88.68843415,88.11408994,95.01906132,113.3500985,115.1743843
1023,46.68367862,48.13007874,49.31239812,49.18672367,51.02838621,52.85091038,53.73686979,54.51594006,55.97310907,58.38869267,64.48499672,66.90202029,70.33406467,75.1663423,71.58572499,75.25071531,81.53603445,83.51151785,84.29255987,85.03242242,81.27505485,80.5671419,82.78098861,86.69154353,88.68843415,88.11408994,95.01906132,113.3500985,115.1743843
1025,46.68367862,48.13007874,49.31239812,49.18672367,51.02838621,52.85091038,53.73686979,54.51594006,55.97310907,58.38869267,64.48499672,66.90202029,70.33406467,75.1663423,71.58572499,75.25071531,81.53603445,83.51151785,84.29255987,85.03242242,81.27505485,80.5671419,82.78098861,86.69154353,88.68843415,88.11408994,95.01906132,113.3500985,115.1743843
1027,46.68367862,48.13007874,49.31239812,49.18672367,51.02838621,52.85091038,53.73686979,54.51594006,55.97310907,58.38869267,64.48499672,66.90202029,70.33406467,75.1663423,71.58572499,75.25071531,81.53603445,83.51151785,84.29255987,85.03242242,81.27505485,80.5671419,82.78098861,86.69154353,88.68843415,88.11408994,95.01906132,113.3500985,115.1743843
1029,46.68367862,48.13007874,49.31239812,49.18672367,51.02838621,52.85091038,53.73686979,54.51594006,55.97310907,58.38869267,64.48499672,66.90202029,70.33406467,75.1663423,71.58572499,75.25071531,81.53603445,83.51151785,84.29255987,85.03242242,81.27505485,80.5671419,82.78098861,86.69154353,88.68843415,88.11408994,95.01906132,113.3500985,115.1743843
1031,46.68367862,48.13007874,49.31239812,49.18672367,51.02838621,52.85091038,53.73686979,54.51594006,55.97310907,58.38869267,64.48499672,66.90202029,70.33406467,75.1663423,71.58572499,75.25071531,81.53603445,83.51151785,84.29255987,85.03242242,81.27505485,80.5671419,82.78098861,86.69154353,88.68843415,88.11408994,95.01906132,113.3500985,115.1743843
1033,46.68367862,48.13007874,49.31239812,49.18672367,51.02838621,52.85091038,53.73686979,54.51594006,55.97310907,58.38869267,64.48499672,66.90202029,70.33406467,75.1663423,71.58572499,75.25071531,81.53603445,83.51151785,84.29255987,85.03242242,81.27505485,80.5671419,82.78098861,86.69154353,88.68843415,88.11408994,95.01906132,113.3500985,115.1743843
1035,46.68367862,48.13007874,49.31239812,49.18672367,51.02838621,52.85091038,53.73686979,54.51594006,55.97310907,58.38869267,64.48499672,66.90202029,70.33406467,75.1663423,71.58572499,75.25071531,81.53603445,83.51151785,84.29255987,85.03242242,81.27505485,80.5671419,82.78098861,86.69154353,88.68843415,88.11408994,95.01906132,113.3500985,115.1743843
1037,46.68367862,48.13007874,49.31239812,49.18672367,51.02838621,52.85091038,53.73686979,54.51594006,55.97310907,58.38869267,64.48499672,66.90202029,70.33406467,75.1663423,71.58572499,75.25071531,81.53603445,83.51151785,84.29255987,85.03242242,81.27505485,80.5671419,82.78098861,86.69154353,88.68843415,88.11408994,95.01906132,113.3500985,115.1743843
1039,46.68367862,48.13007874,49.31239812,49.18672367,51.02838621,52.85091038,53.73686979,54.51594006,55.97310907,58.38869267,64.48499672,66.90202029,70.33406467,75.1663423,71.58572499,75.25071531,81.53603445,83.51151785,84.29255987,85.03242242,81.27505485,80.5671419,82.78098861,86.69154353,88.68843415,88.11408994,95.01906132,113.3500985,115.1743843
1041,46.68367862,48.13007874,49.31239812,49.18672367,51.02838621,52.85091038,53.73686979,54.51594006,55.97310907,58.38869267,64.48499672,66.90202029,70.33406467,75.1663423,71.58572499,75.25071531,81.53603445,83.51151785,84.29255987,85.03242242,81.27505485,80.5671419,82.78098861,86.69154353,88.68843415,88.11408994,95.01906132,113.3500985,115.1743843
1043,46.68367862,48.13007874,49.31239812,49.18672367,51.02838621,52.85091038,53.73686979,54.51594006,55.97310907,58.38869267,64.48499672,66.90202029,70.33406467,75.1663423,71.58572499,75.25071531,81.53603445,83.51151785,84.29255987,85.03242242,81.27505485,80.5671419,82.78098861,86.69154353,88.68843415,88.11408994,95.01906132,113.3500985,115.1743843
1045,46.68367862,48.13007874,49.31239812,49.18672367,51.02838621,52.85091038,53.73686979,54.51594006,55.97310907,58.38869267,64.48499672,66.90202029,70.33406467,75.1663423,71.58572499,75.25071531,81.53603445,83.51151785,84.29255987,85.03242242,81.27505485,80.5671419,82.78098861,86.69154353,88.68843415,88.11408994,95.01906132,113.3500985,115.1743843
1047,46.68367862,48.13007874,49.31239812,49.18672367,51.02838621,52.85091038,53.73686979,54.51594006,55.97310907,58.38869267,64.48499672,66.90202029,70.33406467,75.1663423,71.58572499,75.25071531,81.53603445,83.51151785,84.29255987,85.03242242,81.27505485,80.5671419,82.78098861,86.69154353,88.68843415,88.11408994,95.01906132,113.3500985,115.1743843
1049,46.68367862,48.13007874,49.31239812,49.18672367,51.02838621,52.85091038,53.73686979,54.51594006,55.97310907,58.38869267,64.48499672,66.90202029,70.33406467,75.1663423,71.58572499,75.25071531,81.53603445,83.51151785,84.29255987,85.03242242,81.27505485,80.5671419,82.78098861,86.69154353,88.68843415,88.11408994,95.01906132,113.3500985,115.1743843
1051,46.68367862,48.13007874,49.31239812,49.18672367,51.02838621,52.85091038,53.73686979,54.51594006,55.97310907,58.38869267,64.48499672,66.90202029,70.33406467,75.1663423,71.58572499,75.25071531,81.53603445,83.51151785,84.29255987,85.03242242,81.27505485,80.5671419,82.78098861,86.69154353,88.68843415,88.11408994,95.01906132,113.3500985,115.1743843
1053,46.68367862,48.13007874,49.31239812,49.18672367,51.02838621,52.85091038,53.73686979,54.51594006,55.97310907,58.38869267,64.48499672,66.90202029,70.33406467,75.1663423,71.58572499,75.25071531,81.53603445,83.51151785,84.29255987,85.03242242,81.27505485,80.5671419,82.78098861,86.69154353,88.68843415,88.11408994,95.01906132,113.3500985,115.1743843
1055,46.68367862,48.13007874,49.31239812,49.18672367,51.02838621,52.85091038,53.73686979,54.51594006,55.97310907,58.38869267,64.48499672,66.90202029,70.33406467,75.1663423,71.58572499,75.25071531,81.53603445,83.51151785,84.29255987,85.03242242,81.27505485,80.5671419,82.78098861,86.69154353,88.68843415,88.11408994,95.01906132,113.3500985,115.1743843
1057,46.68367862,48.13007874,49.31239812,49.18672367,51.02838621,52.85091038,53.73686979,54.51594006,55.97310907,58.38869267,64.48499672,66.90202029,70.33406467,75.1663423,71.58572499,75.25071531,81.53603445,83.51151785,84.29255987,85.03242242,81.27505485,80.5671419,82.78098861,86.69154353,88.68843415,88.11408994,95.01906132,113.3500985,115.1743843
1059,46.68367862,48.13007874,49.31239812,49.18672367,51.02838621,52.85091038,53.73686979,54.51594006,55.97310907,58.38869267,64.48499672,66.90202029,70.33406467,75.1663423,71.58572499,75.25071531,81.53603445,83.51151785,84.29255987,85.03242242,81.27505485,80.5671419,82.78098861,86.69154353,88.68843415,88.11408994,95.01906132,113.3500985,115.1743843
1061,46.68367862,48.13007874,49.31239812,49.18672367,51.02838621,52.85091038,53.73686979,54.51594006,55.97310907,58.38869267,64.48499672,66.90202029,70.33406467,75.1663423,71.58572499,75.25071531,81.53603445,83.51151785,84.29255987,85.03242242,81.27505485,80.5671419,82.78098861,86.69154353,88.68843415,88.11408994,95.01906132,113.3500985,115.1743843
1063,46.68367862,48.13007874,49.31239812,49.18672367,51.02838621,52.85091038,53.73686979,54.51594006,55.97310907,58.38869267,64.48499672,66.90202029,70.33406467,75.1663423,71.58572499,75.25071531,81.53603445,83.51151785,84.29255987,85.03242242,81.27505485,80.5671419,82.78098861,86.69154353,88.68843415,88.11408994,95.01906132,113.3500985,115.1743843
